date,effective_on,type,title,document_number,citation,url,pdf_url,agency,scope
1994-03-02,1994-03-29,Uncategorized Document,Extension of Designation of Liberia Under Temporary Protected Status Program,94-4742,,https://www.federalregister.gov/documents/1994/03/02/94-4742/extension-of-designation-of-liberia-under-temporary-protected-status-program,,Justice Department,country
1994-03-07,,Uncategorized Document,Extension of Designation of Liberia Under Temporary Protected Status Program,X94-40307,,https://www.federalregister.gov/documents/1994/03/07/X94-40307/extension-of-designation-of-liberia-under-temporary-protected-status-program,,Justice Department,country
1994-06-07,1994-06-07,Uncategorized Document,Designation of Rwanda Under Temporary Protected Status Program,94-13796,,https://www.federalregister.gov/documents/1994/06/07/94-13796/designation-of-rwanda-under-temporary-protected-status-program,,Justice Department,country
1994-07-15,1994-08-11,Uncategorized Document,Extension of Designation of Bosnia-Hercegovina Under Temporary Protected Status Program,94-17212,,https://www.federalregister.gov/documents/1994/07/15/94-17212/extension-of-designation-of-bosnia-hercegovina-under-temporary-protected-status-program,,Justice Department,country
1994-08-23,1994-09-18,Uncategorized Document,Extension of Designation of Somalia Under Temporary Protected Status Program,94-20573,,https://www.federalregister.gov/documents/1994/08/23/94-20573/extension-of-designation-of-somalia-under-temporary-protected-status-program,,Justice Department,country
1995-03-29,1995-03-29,Notice,Extension of Designation of Liberia Under Temporary Protected Status Program,95-7678,60 FR 16163,https://www.federalregister.gov/documents/1995/03/29/95-7678/extension-of-designation-of-liberia-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1995-03-29/pdf/95-7678.pdf,Justice Department,country
1995-05-25,1995-06-07,Notice,Extension of Designation of Rwanda Under Temporary Protected Status Program,95-12793,60 FR 27790,https://www.federalregister.gov/documents/1995/05/25/95-12793/extension-of-designation-of-rwanda-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1995-05-25/pdf/95-12793.pdf,Justice Department,country
1995-07-31,1995-08-11,Notice,Extension of Designation of Bosnia-Hercegovina; Under Temporary Protected Status Program,95-18715,60 FR 39004,https://www.federalregister.gov/documents/1995/07/31/95-18715/extension-of-designation-of-bosnia-hercegovina-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1995-07-31/pdf/95-18715.pdf,Justice Department,country
1996-03-01,1996-03-29,Notice,Extension of Designation of Liberia Under Temporary Protected Status Program,96-4924,61 FR 8076,https://www.federalregister.gov/documents/1996/03/01/96-4924/extension-of-designation-of-liberia-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1996-03-01/pdf/96-4924.pdf,Justice Department,country
1996-06-10,1996-06-07,Notice,Extension of Designation of Rwanda Under Temporary Protected Status Program,96-14719,61 FR 29428,https://www.federalregister.gov/documents/1996/06/10/96-14719/extension-of-designation-of-rwanda-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1996-06-10/pdf/96-14719.pdf,Justice Department,country
1996-07-03,,Correction,Extension of Designation of Rwanda Under Temporary Protected Status Program,X96-40703,61 FR 34927,https://www.federalregister.gov/documents/1996/07/03/X96-40703/extension-of-designation-of-rwanda-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1996-07-03/pdf/X96-40703.pdf,Justice Department,country
1996-07-29,1996-09-18,Notice,Extension of Designation of Somalia Under Temporary Protected Status Program,96-19208,61 FR 39472,https://www.federalregister.gov/documents/1996/07/29/96-19208/extension-of-designation-of-somalia-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1996-07-29/pdf/96-19208.pdf,Justice Department,country
1996-07-29,1996-08-11,Notice,Extension of Designation of Bosnia-Hercegovina Under Temporary Protected Status Program,96-19209,61 FR 39471,https://www.federalregister.gov/documents/1996/07/29/96-19209/extension-of-designation-of-bosnia-hercegovina-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1996-07-29/pdf/96-19209.pdf,Justice Department,country
1996-09-10,1996-09-10,Rule,Removal of Obsolete Sections of the Regulation Concerning Temporary Protected Status for Salvadorans,96-23034,61 FR 47667,https://www.federalregister.gov/documents/1996/09/10/96-23034/removal-of-obsolete-sections-of-the-regulation-concerning-temporary-protected-status-for-salvadorans,https://www.govinfo.gov/content/pkg/FR-1996-09-10/pdf/96-23034.pdf,Justice Department,country
1997-04-07,,Notice,Extension of Designation and Redesignation of Liberia Under Temporary Protected Status Program,97-8925,62 FR 16608,https://www.federalregister.gov/documents/1997/04/07/97-8925/extension-of-designation-and-redesignation-of-liberia-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1997-04-07/pdf/97-8925.pdf,Justice Department,country
1997-06-19,1997-06-07,Notice,Termination of Designation of Rwanda Under Temporary Protected Status Program After Final 6-Month Extension,97-16050,62 FR 33442,https://www.federalregister.gov/documents/1997/06/19/97-16050/termination-of-designation-of-rwanda-under-temporary-protected-status-program-after-final-6-month,https://www.govinfo.gov/content/pkg/FR-1997-06-19/pdf/97-16050.pdf,Justice Department,country
1997-08-01,1997-08-11,Notice,Extension of Designation of Bosnia-Hercegovina Under Temporary Protected Status Program,97-20374,62 FR 41420,https://www.federalregister.gov/documents/1997/08/01/97-20374/extension-of-designation-of-bosnia-hercegovina-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1997-08-01/pdf/97-20374.pdf,Justice Department,country
1997-08-01,1997-09-18,Notice,Extension of Designation of Somalia Under Temporary Protected Status Program,97-20375,62 FR 41421,https://www.federalregister.gov/documents/1997/08/01/97-20375/extension-of-designation-of-somalia-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1997-08-01/pdf/97-20375.pdf,Justice Department,country
1997-08-28,1997-08-28,Notice,Designation of Montserrat Under Temporary Protected Status,97-23118,62 FR 45685,https://www.federalregister.gov/documents/1997/08/28/97-23118/designation-of-montserrat-under-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-1997-08-28/pdf/97-23118.pdf,Justice Department,country
1997-09-09,,Correction,Designation of Montserrat; Under Temporary Protected Status,X97-40909,62 FR 47532,https://www.federalregister.gov/documents/1997/09/09/X97-40909/designation-of-montserrat-under-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-1997-09-09/pdf/X97-40909.pdf,Justice Department,country
1997-11-04,1997-11-04,Notice,Designation of Sudan Under Temporary Protected Status,97-29077,62 FR 59737,https://www.federalregister.gov/documents/1997/11/04/97-29077/designation-of-sudan-under-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-1997-11-04/pdf/97-29077.pdf,Justice Department,country
1997-11-04,1997-11-04,Notice,Designation of Sierra Leone Under Temporary Protected Status,97-29078,62 FR 59736,https://www.federalregister.gov/documents/1997/11/04/97-29078/designation-of-sierra-leone-under-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-1997-11-04/pdf/97-29078.pdf,Justice Department,country
1997-11-04,1997-11-04,Notice,Designation of Burundi Under Temporary Protected Status,97-29079,62 FR 59735,https://www.federalregister.gov/documents/1997/11/04/97-29079/designation-of-burundi-under-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-1997-11-04/pdf/97-29079.pdf,Justice Department,country
1997-11-10,,Correction,Designation of Sudan Under Temporary Protected Status,X97-11110,62 FR 60564,https://www.federalregister.gov/documents/1997/11/10/X97-11110/designation-of-sudan-under-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-1997-11-10/pdf/X97-11110.pdf,Justice Department,country
1997-11-10,,Correction,Designation of Burundi Under Temporary Protected Status,X97-21110,62 FR 60564,https://www.federalregister.gov/documents/1997/11/10/X97-21110/designation-of-burundi-under-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-1997-11-10/pdf/X97-21110.pdf,Justice Department,country
1997-11-14,,Correction,Designation of Sierra Leone Under Temporary Protected Status,X97-21114,62 FR 61167,https://www.federalregister.gov/documents/1997/11/14/X97-21114/designation-of-sierra-leone-under-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-1997-11-14/pdf/X97-21114.pdf,Justice Department,country
1998-03-31,1998-09-28,Notice,Termination of Designation of Liberia Under Temporary Protected Status Program After Final 6-Month Extension,98-8336,63 FR 15437,https://www.federalregister.gov/documents/1998/03/31/98-8336/termination-of-designation-of-liberia-under-temporary-protected-status-program-after-final-6-month,https://www.govinfo.gov/content/pkg/FR-1998-03-31/pdf/98-8336.pdf,Justice Department,country
1998-06-09,1998-06-09,Notice,Designation of the Province of Kosovo in the Republic of Serbia in the State of the Federal Republic of Yugoslavia (Serbia-Montenegro) Under Temporary Protected Status,98-15329,63 FR 31527,https://www.federalregister.gov/documents/1998/06/09/98-15329/designation-of-the-province-of-kosovo-in-the-republic-of-serbia-in-the-state-of-the-federal-republic,https://www.govinfo.gov/content/pkg/FR-1998-06-09/pdf/98-15329.pdf,Justice Department,country
1998-08-24,1998-08-11,Notice,Extension of Designation of Bosnia-Hercegovina Under Temporary Protected Status Program,98-22580,63 FR 45092,https://www.federalregister.gov/documents/1998/08/24/98-22580/extension-of-designation-of-bosnia-hercegovina-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1998-08-24/pdf/98-22580.pdf,Justice Department,country
1998-08-27,1998-08-28,Notice,Extension of Designation of Montserrat Under Temporary Protected Status Program,98-23035,63 FR 45864,https://www.federalregister.gov/documents/1998/08/27/98-23035/extension-of-designation-of-montserrat-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1998-08-27/pdf/98-23035.pdf,Justice Department,country
1998-09-28,1998-09-18,Notice,Extension of Designation of Somalia Under Temporary Protected Status Program,98-25883,63 FR 51602,https://www.federalregister.gov/documents/1998/09/28/98-25883/extension-of-designation-of-somalia-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1998-09-28/pdf/98-25883.pdf,Justice Department,country
1998-09-29,1998-09-29,Notice,Redesignation of Liberia Under Temporary Protected Status Program,98-26033,63 FR 51958,https://www.federalregister.gov/documents/1998/09/29/98-26033/redesignation-of-liberia-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1998-09-29/pdf/98-26033.pdf,Justice Department,country
1998-11-03,1998-11-04,Notice,Extension of Designation of Sierra Leone Under Temporary Protected Status Program,98-29394,63 FR 59336,https://www.federalregister.gov/documents/1998/11/03/98-29394/extension-of-designation-of-sierra-leone-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1998-11-03/pdf/98-29394.pdf,Justice Department,country
1998-11-03,1998-11-04,Notice,Extension of Designation of Sudan Under Temporary Protected Status Program,98-29395,63 FR 59337,https://www.federalregister.gov/documents/1998/11/03/98-29395/extension-of-designation-of-sudan-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1998-11-03/pdf/98-29395.pdf,Justice Department,country
1998-11-03,1998-11-04,Notice,Extension of Designation of Burundi Under Temporary Protected Status Program,98-29396,63 FR 59334,https://www.federalregister.gov/documents/1998/11/03/98-29396/extension-of-designation-of-burundi-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1998-11-03/pdf/98-29396.pdf,Justice Department,country
1998-11-16,1998-11-16,Rule,"Temporary Protected Status, Exception to Registration Deadlines",98-30480,63 FR 63593,https://www.federalregister.gov/documents/1998/11/16/98-30480/temporary-protected-status-exception-to-registration-deadlines,https://www.govinfo.gov/content/pkg/FR-1998-11-16/pdf/98-30480.pdf,Justice Department,program_wide
1998-12-08,,Correction,"Temporary Protected Status, Exception to Registration Deadlines",X98-31208,63 FR 67724,https://www.federalregister.gov/documents/1998/12/08/X98-31208/temporary-protected-status-exception-to-registration-deadlines,https://www.govinfo.gov/content/pkg/FR-1998-12-08/pdf/X98-31208.pdf,Justice Department,program_wide
1999-01-05,1999-01-05,Notice,Designation of Nicaragua Under Temporary Protected Status,98-34848,64 FR 526,https://www.federalregister.gov/documents/1999/01/05/98-34848/designation-of-nicaragua-under-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-1999-01-05/pdf/98-34848.pdf,Justice Department,country
1999-01-05,1999-01-05,Notice,Designation of Honduras Under Temporary Protected Status,98-34849,64 FR 524,https://www.federalregister.gov/documents/1999/01/05/98-34849/designation-of-honduras-under-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-1999-01-05/pdf/98-34849.pdf,Justice Department,country
1999-02-01,,Rule,"Temporary Protected Status: Amendments to the Requirements for Employment Authorization Fee, and Other Technical Amendments",99-2334,64 FR 4780,https://www.federalregister.gov/documents/1999/02/01/99-2334/temporary-protected-status-amendments-to-the-requirements-for-employment-authorization-fee-and-other,https://www.govinfo.gov/content/pkg/FR-1999-02-01/pdf/99-2334.pdf,Justice Department,program_wide
1999-03-11,1999-03-11,Notice,Designation of Guinea-Bissau Under Temporary Protected Status,99-6055,64 FR 12181,https://www.federalregister.gov/documents/1999/03/11/99-6055/designation-of-guinea-bissau-under-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-1999-03-11/pdf/99-6055.pdf,Justice Department,country
1999-04-01,1999-04-01,Notice,Designation of Nicaragua Under Temporary Protected Status; Correction,99-7966,64 FR 15817,https://www.federalregister.gov/documents/1999/04/01/99-7966/designation-of-nicaragua-under-temporary-protected-status-correction,https://www.govinfo.gov/content/pkg/FR-1999-04-01/pdf/99-7966.pdf,Justice Department,country
1999-06-08,,Notice,Extension and Redesignation of the Province of Kosovo in the Republic of Serbia in the State of the Federal Republic of Yugoslavia (Serbia-Montenegro) Under Temporary Protected Status,99-14507,64 FR 30542,https://www.federalregister.gov/documents/1999/06/08/99-14507/extension-and-redesignation-of-the-province-of-kosovo-in-the-republic-of-serbia-in-the-state-of-the,https://www.govinfo.gov/content/pkg/FR-1999-06-08/pdf/99-14507.pdf,Justice Department,country
1999-06-21,,Correction,Extension and Redesignation of the Province of Kosovo in the Republic of Serbia in the State of the Federal Republic of Yugoslavia (Serbia-Montenegro) Under Temporary Protected Status,C9-14507,64 FR 33139,https://www.federalregister.gov/documents/1999/06/21/C9-14507/extension-and-redesignation-of-the-province-of-kosovo-in-the-republic-of-serbia-in-the-state-of-the,https://www.govinfo.gov/content/pkg/FR-1999-06-21/pdf/C9-14507.pdf,Justice Department,country
1999-07-30,1999-09-28,Notice,Termination of Designation of Liberia Under the Temporary Protected Status Program,99-19700,64 FR 41463,https://www.federalregister.gov/documents/1999/07/30/99-19700/termination-of-designation-of-liberia-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1999-07-30/pdf/99-19700.pdf,Justice Department,country
1999-08-06,1999-07-07,Notice,Extension of the Registration Period for Hondurans and Nicaraguans Under the Temporary Protected Status Program,99-20279,64 FR 42991,https://www.federalregister.gov/documents/1999/08/06/99-20279/extension-of-the-registration-period-for-hondurans-and-nicaraguans-under-the-temporary-protected,https://www.govinfo.gov/content/pkg/FR-1999-08-06/pdf/99-20279.pdf,Justice Department,country
1999-08-11,1999-08-11,Notice,Extension of Designation of Bosnia-Herzegovina Under the Temporary Protected Status Program,99-20852,64 FR 43720,https://www.federalregister.gov/documents/1999/08/11/99-20852/extension-of-designation-of-bosnia-herzegovina-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1999-08-11/pdf/99-20852.pdf,Justice Department,country
1999-09-02,1999-08-28,Notice,Extension of Designation of Montserrat Under Temporary Protected Status Program,99-22837,64 FR 48190,https://www.federalregister.gov/documents/1999/09/02/99-22837/extension-of-designation-of-montserrat-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1999-09-02/pdf/99-22837.pdf,Justice Department,country
1999-09-13,1999-09-18,Notice,Extension of Designation of Somalia Under Temporary Protected Status Program,99-23728,64 FR 49511,https://www.federalregister.gov/documents/1999/09/13/99-23728/extension-of-designation-of-somalia-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1999-09-13/pdf/99-23728.pdf,Justice Department,country
1999-11-09,,Notice,Extension and Redesignation of Sierra Leone Under the Temporary Protected Status Program,99-29247,64 FR 61125,https://www.federalregister.gov/documents/1999/11/09/99-29247/extension-and-redesignation-of-sierra-leone-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1999-11-09/pdf/99-29247.pdf,Justice Department,country
1999-11-09,,Notice,Extension and Redesignation of Burundi Under the Temporary Protected Status Program,99-29248,64 FR 61123,https://www.federalregister.gov/documents/1999/11/09/99-29248/extension-and-redesignation-of-burundi-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1999-11-09/pdf/99-29248.pdf,Justice Department,country
1999-11-09,,Notice,Extension and Redesignation of Sudan Under the Temporary Protected Status Program,99-29249,64 FR 61128,https://www.federalregister.gov/documents/1999/11/09/99-29249/extension-and-redesignation-of-sudan-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-1999-11-09/pdf/99-29249.pdf,Justice Department,country
2000-03-20,,Notice,Six-Month Extension and Termination of Designation of Guinea- Bissau Under the Temporary Protected Status Program,00-6750,65 FR 15016,https://www.federalregister.gov/documents/2000/03/20/00-6750/six-month-extension-and-termination-of-designation-of-guinea--bissau-under-the-temporary-protected,https://www.govinfo.gov/content/pkg/FR-2000-03-20/pdf/00-6750.pdf,Justice Department,country
2000-03-29,2000-03-29,Notice,Designation of Angola Under the Temporary Protected Status Program,00-7683,65 FR 16634,https://www.federalregister.gov/documents/2000/03/29/00-7683/designation-of-angola-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2000-03-29/pdf/00-7683.pdf,Justice Department,country
2000-05-11,2000-07-06,Notice,Extension of Designation of Honduras Under Temporary Protected Status Program,00-11786,65 FR 30438,https://www.federalregister.gov/documents/2000/05/11/00-11786/extension-of-designation-of-honduras-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2000-05-11/pdf/00-11786.pdf,Justice Department,country
2000-05-11,2000-07-06,Notice,Extension of Designation of Nicaragua Under Temporary Protected Status Program,00-11787,65 FR 30440,https://www.federalregister.gov/documents/2000/05/11/00-11787/extension-of-designation-of-nicaragua-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2000-05-11/pdf/00-11787.pdf,Justice Department,country
2000-05-23,,Notice,Termination of the Province of Kosovo in the Republic of Serbia in the State of the Federal Republic of Yugoslavia (Serbia-Montenegro) Under the Temporary Protected Status Program,00-12856,65 FR 33356,https://www.federalregister.gov/documents/2000/05/23/00-12856/termination-of-the-province-of-kosovo-in-the-republic-of-serbia-in-the-state-of-the-federal-republic,https://www.govinfo.gov/content/pkg/FR-2000-05-23/pdf/00-12856.pdf,Justice Department,country
2000-06-09,2000-07-06,Notice,Extension of Re-Registration Period and Work Authorization for Nicaraguans Under Temporary Protected Status Program,00-14533,65 FR 36721,https://www.federalregister.gov/documents/2000/06/09/00-14533/extension-of-re-registration-period-and-work-authorization-for-nicaraguans-under-temporary-protected,https://www.govinfo.gov/content/pkg/FR-2000-06-09/pdf/00-14533.pdf,Justice Department,country
2000-06-09,2000-07-06,Notice,Extension of Re-registration Period and Work Authorization for Hondurans Under Temporary Protected Status Program,00-14534,65 FR 36719,https://www.federalregister.gov/documents/2000/06/09/00-14534/extension-of-re-registration-period-and-work-authorization-for-hondurans-under-temporary-protected,https://www.govinfo.gov/content/pkg/FR-2000-06-09/pdf/00-14534.pdf,Justice Department,country
2000-08-30,,Notice,Termination of Bosnia-Herzegovina Under the Temporary Protected Status Program,00-22138,65 FR 52789,https://www.federalregister.gov/documents/2000/08/30/00-22138/termination-of-bosnia-herzegovina-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2000-08-30/pdf/00-22138.pdf,Justice Department,country
2000-10-02,2000-08-28,Notice,Extension of Designation of Montserrat Under Temporary Protected Status Program,00-25250,65 FR 58806,https://www.federalregister.gov/documents/2000/10/02/00-25250/extension-of-designation-of-montserrat-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2000-10-02/pdf/00-25250.pdf,Justice Department,country
2000-11-09,2000-11-02,Notice,Extension of Designation of Sierra Leone Under the Temporary Protected Status Program,00-28747,65 FR 67405,https://www.federalregister.gov/documents/2000/11/09/00-28747/extension-of-designation-of-sierra-leone-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2000-11-09/pdf/00-28747.pdf,Justice Department,country
2000-11-09,2000-11-02,Notice,Extension of Designation of Sudan Under the Temporary Protected Status Program,00-28748,65 FR 67407,https://www.federalregister.gov/documents/2000/11/09/00-28748/extension-of-designation-of-sudan-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2000-11-09/pdf/00-28748.pdf,Justice Department,country
2000-11-09,2000-11-02,Notice,Extension of Designation of Burundi Under the Temporary Protected Status Program,00-28749,65 FR 67404,https://www.federalregister.gov/documents/2000/11/09/00-28749/extension-of-designation-of-burundi-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2000-11-09/pdf/00-28749.pdf,Justice Department,country
2000-11-20,2000-09-18,Notice,Extension of Designation of Somalia Under Temporary Protected Status Program,00-29546,65 FR 69789,https://www.federalregister.gov/documents/2000/11/20/00-29546/extension-of-designation-of-somalia-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2000-11-20/pdf/00-29546.pdf,Justice Department,country
2000-12-08,,Correction,Extension of Designation of Somalia Under Temporary Protected Status Program,C0-29546,65 FR 77074,https://www.federalregister.gov/documents/2000/12/08/C0-29546/extension-of-designation-of-somalia-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2000-12-08/pdf/C0-29546.pdf,Justice Department,country
2000-12-28,2001-01-29,Rule,"Temporary Protected Status: Amendments to the Requirements for Employment Authorization Fee, and Other Technical Amendments",00-33046,65 FR 82256,https://www.federalregister.gov/documents/2000/12/28/00-33046/temporary-protected-status-amendments-to-the-requirements-for-employment-authorization-fee-and-other,https://www.govinfo.gov/content/pkg/FR-2000-12-28/pdf/00-33046.pdf,Justice Department,program_wide
2001-01-26,2000-12-28,Rule,"Temporary Protected Status: Amendments to the Requirements for Employment Authorization Fee, and Other Technical Amendments; Delay of Effective Date",01-2412,66 FR 7863,https://www.federalregister.gov/documents/2001/01/26/01-2412/temporary-protected-status-amendments-to-the-requirements-for-employment-authorization-fee-and-other,https://www.govinfo.gov/content/pkg/FR-2001-01-26/pdf/01-2412.pdf,Justice Department,program_wide
2001-03-09,2001-03-09,Notice,Designation of El Salvador Under Temporary Protected Status Program,01-5818,66 FR 14214,https://www.federalregister.gov/documents/2001/03/09/01-5818/designation-of-el-salvador-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2001-03-09/pdf/01-5818.pdf,Justice Department,country
2001-04-05,,Notice,Extension and Redesignation of Angola Under Temporary Protected Status Program,01-8422,66 FR 18111,https://www.federalregister.gov/documents/2001/04/05/01-8422/extension-and-redesignation-of-angola-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2001-04-05/pdf/01-8422.pdf,Justice Department,country
2001-05-08,2001-07-05,Notice,Extension of the Designation of Honduras Under the Temporary Protected Status Program,01-11536,66 FR 23269,https://www.federalregister.gov/documents/2001/05/08/01-11536/extension-of-the-designation-of-honduras-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2001-05-08/pdf/01-11536.pdf,Justice Department,country
2001-05-08,2001-07-05,Notice,Extension of the Designation of Nicaragua Under the Temporary Protected Status Program,01-11537,66 FR 23271,https://www.federalregister.gov/documents/2001/05/08/01-11537/extension-of-the-designation-of-nicaragua-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2001-05-08/pdf/01-11537.pdf,Justice Department,country
2001-07-03,2001-07-03,Notice,Automatic Extension of Work Authorization for Hondurans and Nicaraguans Under Temporary Protected Status Program,01-16745,66 FR 35270,https://www.federalregister.gov/documents/2001/07/03/01-16745/automatic-extension-of-work-authorization-for-hondurans-and-nicaraguans-under-temporary-protected,https://www.govinfo.gov/content/pkg/FR-2001-07-03/pdf/01-16745.pdf,Justice Department,country
2001-08-03,2001-08-27,Notice,Extension of the Designation of Montserrat Under the Temporary Protected Status Program,01-19475,66 FR 40834,https://www.federalregister.gov/documents/2001/08/03/01-19475/extension-of-the-designation-of-montserrat-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2001-08-03/pdf/01-19475.pdf,Justice Department,country
2001-08-31,2001-11-02,Notice,Extension of the Designation of Sudan Under the Temporary Protected Status Program,01-22130,66 FR 46031,https://www.federalregister.gov/documents/2001/08/31/01-22130/extension-of-the-designation-of-sudan-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2001-08-31/pdf/01-22130.pdf,Justice Department,country
2001-08-31,2001-11-02,Notice,Extension of the Designation of Burundi Under the Temporary Protected Status Program,01-22131,66 FR 46027,https://www.federalregister.gov/documents/2001/08/31/01-22131/extension-of-the-designation-of-burundi-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2001-08-31/pdf/01-22131.pdf,Justice Department,country
2001-08-31,2001-11-02,Notice,Extension of the Designation of Sierra Leone Under the Temporary Protected Status Program,01-22132,66 FR 46029,https://www.federalregister.gov/documents/2001/08/31/01-22132/extension-of-the-designation-of-sierra-leone-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2001-08-31/pdf/01-22132.pdf,Justice Department,country
2001-09-04,2001-09-17,Notice,Extension and Redesignation of Somalia under Temporary Protected Status Program,01-22152,66 FR 46288,https://www.federalregister.gov/documents/2001/09/04/01-22152/extension-and-redesignation-of-somalia-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2001-09-04/pdf/01-22152.pdf,Justice Department,country
2002-02-01,2002-03-29,Notice,Extension of the Designation of Angola Under Temporary Protected Status Program,02-2528,67 FR 4997,https://www.federalregister.gov/documents/2002/02/01/02-2528/extension-of-the-designation-of-angola-under-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2002-02-01/pdf/02-2528.pdf,Justice Department,country
2002-05-03,2002-07-05,Notice,Extension of the Designation of Nicaragua Under the Temporary Protected Status Program,02-11129,67 FR 22454,https://www.federalregister.gov/documents/2002/05/03/02-11129/extension-of-the-designation-of-nicaragua-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2002-05-03/pdf/02-11129.pdf,Justice Department,country
2002-05-03,2002-07-05,Notice,Extension of the Designation of Honduras Under the Temporary Protected Status Program,02-11130,67 FR 22451,https://www.federalregister.gov/documents/2002/05/03/02-11130/extension-of-the-designation-of-honduras-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2002-05-03/pdf/02-11130.pdf,Justice Department,country
2002-05-03,2002-07-05,Notice,Automatic Extension of Employment Authorization for Hondurans and Nicaraguans Under the Temporary Protected Status Program,02-11158,67 FR 22450,https://www.federalregister.gov/documents/2002/05/03/02-11158/automatic-extension-of-employment-authorization-for-hondurans-and-nicaraguans-under-the-temporary,https://www.govinfo.gov/content/pkg/FR-2002-05-03/pdf/02-11158.pdf,Justice Department,country
2002-07-11,2002-09-09,Notice,Extension of the Designation of El Salvador Under the Temporary Protected Status Program; Automatic Extension of Employment Authorization Documentation for Salvadorans,02-17479,67 FR 46000,https://www.federalregister.gov/documents/2002/07/11/02-17479/extension-of-the-designation-of-el-salvador-under-the-temporary-protected-status-program-automatic,https://www.govinfo.gov/content/pkg/FR-2002-07-11/pdf/02-17479.pdf,Justice Department,country
2002-07-17,2002-08-27,Notice,Extension of the Designation of Montserrat Under the Temporary Protected Status Program,02-18040,67 FR 47002,https://www.federalregister.gov/documents/2002/07/17/02-18040/extension-of-the-designation-of-montserrat-under-the-temporary-protected-status-program,https://www.govinfo.gov/content/pkg/FR-2002-07-17/pdf/02-18040.pdf,Justice Department,country
